fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
39093,314588,250254,23588,4318,70693.0,916.0,37.4,2018,2329
39095,428748,296678,83542,5577,60095.0,911.0,36.8,2018,7842
39097,44126,38614,2080,1067,83229.0,944.0,26.8,2018,168
39099,227063,172628,32405,2510,55576.0,775.0,40.3,2018,2087
39101,65145,57079,3395,781,57306.0,850.0,39.6,2018,662
39103,183049,169696,2368,1189,92660.0,1090.0,32.8,2018,387
39105,22072,21331,132,186,46701.0,704.0,41.2,2018,74
39107,42438,40308,298,692,78036.0,812.0,29.0,2018,117
39109,109549,99899,2261,818,74175.0,942.0,33.7,2018,516
39111,13308,12700,70,135,58962.0,626.0,41.2,2018,15
39113,535528,370565,109697,6323,64403.0,968.0,35.9,2018,5882
39115,13758,12551,417,284,55971.0,713.0,39.4,2018,36
39117,35214,33470,188,291,71047.0,942.0,29.0,2018,111
39119,86382,78566,2721,793,59203.0,811.0,42.1,2018,536
39121,14252,13341,572,40,55360.0,730.0,19.9,2018,18
39123,40161,37241,448,405,75728.0,909.0,30.3,2018,137
39125,18800,17336,149,238,68167.0,750.0,35.2,2018,69
39127,35474,34080,80,458,64737.0,727.0,34.7,2018,99
39129,59407,54636,1778,885,72927.0,965.0,34.4,2018,319
39131,27080,25774,289,402,49552.0,833.0,37.7,2018,117
39133,161421,141303,7621,1763,72822.0,1036.0,47.8,2018,882
39135,40802,39063,321,379,71237.0,803.0,29.7,2018,131
39137,34352,31620,294,251,82785.0,857.0,26.7,2018,32
39139,125138,106341,9316,1511,57649.0,791.0,34.2,2018,1132
39141,76748,68353,4131,943,59819.0,858.0,40.4,2018,477
39143,58770,50347,1894,474,62500.0,786.0,32.3,2018,308
39145,73118,68092,1786,1050,49571.0,749.0,42.8,2018,458
39147,54861,49641,1479,611,65020.0,814.0,32.0,2018,286
39149,48007,44523,1031,370,72822.0,904.0,29.4,2018,248
39151,373764,318786,28074,4382,65740.0,877.0,34.5,2018,2890
39153,538087,403547,75307,5981,71016.0,998.0,37.6,2018,4815
39155,201367,173084,16140,1693,55088.0,783.0,38.5,2018,1453
39157,92585,87374,689,648,64494.0,876.0,38.2,2018,368
39159,65293,56522,1568,1213,109506.0,1188.0,24.7,2018,181
39161,28824,27073,199,168,65344.0,792.0,29.6,2018,110
39163,12686,12200,76,355,53813.0,663.0,33.8,2018,41
39165,246364,206234,8330,1696,107843.0,1293.0,30.4,2018,862
39167,59318,55969,692,727,61355.0,828.0,39.9,2018,193
39169,116618,108708,1351,1099,71769.0,849.0,25.8,2018,490
39171,36862,34057,419,349,61834.0,805.0,32.6,2018,183
39173,131795,115868,2615,1219,73124.0,950.0,33.5,2018,539
39175,21699,20623,46,146,71878.0,785.0,15.9,2018,53
40001,19595,7916,62,10227,48028.0,650.0,32.8,2018,82
40003,5685,4704,194,518,67870.0,614.0,30.3,2018,10
40005,14255,9864,555,3004,52034.0,708.0,33.2,2018,35
40007,5041,3561,14,203,64266.0,782.0,26.5,2018,8
40009,22202,18368,1193,1326,52323.0,821.0,37.6,2018,80
40011,8603,6487,373,1124,59304.0,842.0,35.1,2018,17
40013,47237,33243,1122,9920,54280.0,914.0,36.4,2018,332
40015,26626,15550,969,7617,52817.0,715.0,28.2,2018,54
40017,162621,121172,5897,13739,85427.0,1208.0,36.0,2018,571
40019,48255,33486,2869,7604,58856.0,945.0,34.9,2018,209
40021,47621,22312,668,21427,53668.0,803.0,34.8,2018,181
40023,14299,8501,1352,3487,45456.0,676.0,34.1,2018,38
40025,2247,1809,2,135,57204.0,682.0,22.9,2018,5
40027,297545,212056,14585,28933,74446.0,1128.0,38.6,2018,2358
40029,5275,3514,13,1530,48162.0,679.0,31.1,2018,18
40031,121699,71444,18640,13149,59000.0,940.0,34.1,2018,1682
40033,5475,4312,90,733,60313.0,742.0,27.3,2018,16
40035,14215,8879,494,4168,50182.0,826.0,26.1,2018,38
